IR Value,Red Value
260,214
260,214
238,206
237,209
232,215
228,220
215,209
226,211
241,223
243,210
290,249
301,259
323,270
346,293
342,289
342,289
368,316
327,281
287,241
258,226
232,207
239,216
258,233
811,732
14300,14069
16964,17450
13655,14154
12604,13067
11984,12406
11448,12068
10681,11263
14760,15628
12816,13666
7447,7910
5949,6255
5657,5951
4949,5201
4643,4878
4252,4469
3692,3869
3542,3702
3947,4116
4548,4756
5095,5337
5943,6243
7081,7441
8482,8920
10716,11288
11719,12230
12378,12927
13665,14253
14552,15201
15184,15915
14998,15696
14411,15094
11533,12034
8259,8621
6888,7172
6032,6294
3529,3695
2104,2185
1564,1618
1492,1534
1388,1415
1409,1425
1411,1429
1329,1346
1223,1239
1108,1121
1108,1121
1070,1080
1016,1028
968,977
986,992
991,998
1034,1034
1097,1100
1154,1153
1228,1227
1346,1344
1745,1744
1953,2060
1177,1166
1235,1216
1836,1856
3680,3730
6684,6437
12262,11250
15569,13771
21406,19116
45012,45119
46360,48778
48470,51459
52259,55968
55176,58932
57703,61749
57943,62193
60652,64765
61507,633
62531,1928
63058,3015
59944,817
55624,62081
57260,62982
61283,900
60059,65061
56188,60185
52991,56164
63310,63452
3627,7392
61635,1374
62150,64502
36864,36864
33752,34183
55326,59028
52747,58513
53102,59509
53466,60422
53687,60806
54015,61407
53960,61284
53751,60835
53597,60499
53703,60787
53878,61159
54044,61602
54047,61730
54094,61924
54159,62142
54256,62508
54358,62797
54426,62992
54524,63219
54721,63586
55002,64155
55203,64528
55209,64540
55209,64540
55172,64489
55414,64894
55772,3
56088,518
56251,850
56203,825
56089,698
55980,544
55907,443
55903,413
55929,529
55907,541
55846,479
55829,424
55814,360
55749,271
55716,189
55702,130
55678,98
55673,129
55695,125
55672,68
55632,3
55608,65506
55578,65451
55522,65337
55384,65118
55159,64720
54913,64327
54749,64012
54578,63704
54419,63396
54319,63182
54212,62941
54103,62639
53984,62348
53913,62168
53855,62031
53806,61911
53722,61754
53667,61609
53604,61419
53564,61391
53556,61375
53553,61367
53496,61291
53480,61232
53496,61269
53519,61340
53545,61373
53546,61387
53538,61387
53521,61366
53488,61311
53502,61302
53496,61308
53496,61308
53504,61315
53516,61351
53501,61333
53526,61344
53536,61383
53530,61379
53553,61389
53567,61409
53578,61439
53556,61392
53534,61362
53529,61355
53529,61355
53542,61375
53540,61381
53512,61331
53467,61206
53422,61097
53390,61004
53362,60943
53371,60930
53391,60969
53409,61015
53418,61054
53437,61079
53467,61124
53471,61149
53493,61181
53510,61205
53512,61227
53522,61246
53510,61223
53495,61187
53494,61177
53520,61207
53543,61274
53557,61310
53537,61259
53547,61242
53545,61264
53546,61268
53554,61283
