IR Value,Red Value
49674,6424
49651,6411
49663,6429
49659,6423
49655,6413
49630,6390
49645,6389
49615,6375
49598,6358
49582,6334
49570,6305
49570,6305
49549,6279
49537,6270
49525,6251
49553,6285
49570,6315
49570,6291
49560,6288
49560,6298
49542,6276
49548,6285
49533,6249
49522,6249
49513,6227
49497,6199
49481,6182
49460,6178
49413,6127
49369,6045
49284,5953
49223,5875
49155,5816
49106,5746
49063,5676
49011,5628
49006,5612
49030,5646
49061,5702
49090,5723
49134,5797
49196,5859
49287,5985
49332,6031
49349,6059
49372,6085
49461,6187
49527,6268
49609,6368
49653,6437
49700,6477
49823,6659
49932,6798
49038,5703
48631,5212
48557,5124
48561,5166
48279,4867
47864,4376
47488,3891
47504,3939
47367,3787
46969,3300
46420,2626
46238,2423
46367,2572
46763,3102
47013,3425
46866,3253
46546,2857
46093,2296
45307,1452
45307,1452
44228,65521
43162,64170
42077,62919
40320,60561
38482,58212
36770,55916
36374,55299
36566,55584
36567,55598
36745,55866
36809,55932
37058,56282
37444,56797
37576,56963
37741,57185
38063,57580
38605,58300
38897,58642
39109,58912
39376,59250
39797,59719
39970,59944
40033,60015
39979,59947
39862,59788
39732,59622
39658,59523
39565,59412
39383,59172
39081,58777
38486,58006
38093,57492
38276,57751
38933,58617
39436,59220
39511,59393
39597,59500
40295,60440
41105,61634
41734,62458
41299,61919
41426,62063
41902,62666
42520,63447
43224,64276
43847,65067
43847,65067
44223,1
44328,126
44431,243
44638,521
44659,548
44839,760
44847,777
44700,659
44821,837
44912,963
44914,988
44967,1070
45096,1286
45457,1765
45928,2288
46538,3030
46538,3030
47442,4160
47541,4335
46868,3512
46498,3063
45596,1952
44511,590
44133,107
44009,65521
44130,99
44605,694
45169,1370
45706,2053
45889,2323
45985,2364
46343,2789
46627,3078
47026,3525
47334,3899
47476,4067
47665,4288
48365,5124
48914,5821
49662,6739
50393,7671
50981,8385
51504,9028
51834,9423
52212,9874
52740,10423
53080,10845
53079,10880
53013,10793
53025,10780
53101,10907
53195,11021
53213,11076
53155,10993
53007,10831
52914,10735
52708,10496
52666,10432
52683,10444
52638,10428
52492,10220
52255,9940
51987,9632
51987,9632
51808,9404
51585,9146
51382,8912
51303,8817
51281,8806
51208,8721
51107,8583
51012,8485
50921,8370
50851,8292
50755,8170
50724,8158
50657,8052
50646,8045
50738,8162
50800,8234
50808,8248
50907,8360
51025,8508
51276,8820
50627,8092
49139,6254
48889,6011
48777,5896
48079,5045
47196,3953
47041,3754
47462,4285
47216,3991
46800,3498
46096,2624
45326,1779
44795,995
44259,284
43768,65210
43585,64955
43568,64947
43524,64893
43211,64467
43134,64390
42446,63492
41940,62915
41729,62728
41546,62508
41829,62919
42198,63453
42622,64034
43034,64601
43331,65018
43471,65239
43891,237
43540,65358
42785,64404
42379,63867
42789,64383
43370,65096
43450,65174
43524,65314
43831,254
44124,727
44645,1406
44645,1406
44579,1295
44289,926
44227,764
44396,969
44680,1325
44823,1508
44987,1693
45120,1868
45178,1955
45209,1977
45177,1929
45165,1902
45278,2060
