IR Value,Red Value
22899,43346
22899,43359
22901,43370
22903,43374
22899,43372
22902,43364
22908,43375
22914,43385
22917,43389
22931,43390
22924,43391
22924,43387
22913,43377
22914,43370
22908,43372
22912,43373
22909,43363
22915,43368
22905,43358
22908,43357
22913,43364
22913,43364
22910,43369
22905,43360
22910,43353
22897,43357
22904,43347
22892,43347
22895,43347
22891,43341
22898,43346
22894,43335
22894,43337
22884,43330
22885,43338
22877,43321
22875,43324
22880,43318
22869,43324
22874,43309
22875,43325
22872,43314
22872,43319
22867,43311
22871,43302
22859,43312
22863,43309
22860,43290
22857,43308
22857,43304
22861,43301
22853,43303
22857,43304
22851,43303
22861,43299
22857,43298
22868,43306
22866,43307
22865,43304
22851,43289
22850,43275
22839,43269
22851,43274
22839,43263
22848,43278
22846,43266
22852,43270
22852,43270
22852,43271
22844,43257
22848,43266
22843,43259
22850,43261
22849,43261
22845,43268
22855,43273
22856,43274
22859,43290
22857,43290
22867,43295
22872,43300
22871,43305
22886,43311
22888,43318
22897,43327
22894,43322
22897,43331
22888,43303
22892,43322
22890,43308
22886,43317
22890,43312
22886,43311
22898,43312
22891,43305
22891,43318
22892,43298
22888,43326
22883,43308
22888,43307
22884,43296
22882,43306
22884,43307
22885,43310
22879,43302
22889,43302
22879,43306
22888,43307
22880,43307
22887,43310
22885,43301
22887,43312
22885,43305
22880,43306
22889,43310
22888,43308
22881,43311
22887,43313
22880,43310
22885,43321
22882,43317
22890,43329
22881,43308
22888,43317
22876,43322
22876,43322
22885,43330
22885,43327
22884,43326
22882,43335
22882,43330
22886,43332
22888,43334
22880,43330
22881,43337
22879,43327
22887,43341
22878,43337
22882,43337
22887,43345
22886,43337
22896,43360
22901,43354
22911,43367
22906,43364
22900,43354
22897,43347
22890,43345
22897,43333
22893,43346
22898,43331
22890,43338
22898,43330
22894,43339
22894,43321
22898,43326
22891,43318
22896,43326
22886,43317
22889,43319
22884,43320
22886,43314
22890,43322
22886,43311
22891,43325
22883,43309
22884,43317
22888,43311
22883,43320
22886,43317
22883,43306
22885,43316
22885,43316
22879,43318
22882,43321
22878,43307
22880,43320
22878,43313
22875,43322
22873,43317
22872,43306
22873,43315
22873,43311
22865,43317
22869,43308
22872,43310
22870,43298
22868,43313
22866,43299
22865,43311
22864,43304
22864,43306
22861,43308
22863,43311
22858,43296
22859,43302
22860,43296
22867,43315
22865,43302
22868,43307
22861,43284
22861,43283
22849,43269
22854,43270
22851,43273
22849,43259
22851,43273
22853,43259
22849,43266
22844,43247
22842,43253
22834,43237
22834,43233
22825,43236
22834,43229
22824,43223
22832,43229
22825,43222
22822,43225
22820,43213
22822,43211
22822,43221
22828,43221
22843,43225
22835,43220
22840,43211
22840,43223
22838,43215
22841,43224
22841,43224
22836,43214
22844,43238
22847,43222
22859,43239
22857,43237
22862,43251
22860,43241
22860,43255
22858,43241
22864,43256
22860,43239
22863,43246
22865,43240
22859,43254
22869,43251
22859,43254
22865,43253
22861,43245
22865,43252
22859,43249
22862,43246
22871,43256
22869,43269
22870,43255
22878,43268
22883,43271
22889,43270
22892,43283
22882,43264
22883,43269
22877,43252
22878,43255
22873,43252
22879,43251
22880,43257
22879,43254
22882,43249
22879,43243
22878,43248
22876,43238
22879,43240
22873,43236
22870,43230
22875,43239
22869,43227
22873,43236
22866,43231
22869,43230
22868,43232
22868,43235
22865,43227
22870,43230
22866,43230
22864,43229
22868,43230
22867,43246
22872,43228
22872,43228
22873,43241
22866,43238
22870,43241
22866,43239
22870,43240
22864,43242
22870,43253
22866,43244
22873,43250
22868,43250
22872,43257
22870,43250
22869,43253
22872,43262
22870,43250
22874,43265
22871,43257
22872,43274
22872,43261
22873,43274
22873,43263
22873,43270
22870,43273
22872,43273
22874,43279
22876,43285
22880,43278
22878,43287
22880,43284
22888,43285
22893,43299
22893,43301
22889,43298
22891,43289
22887,43279
22885,43277
22888,43283
22882,43277
22886,43273
22882,43284
22886,43277
22887,43269
22887,43272
22887,43260
22884,43267
22884,43263
22882,43264
22879,43249
22882,43269
22876,43260
22877,43259
22870,43255
22871,43248
22874,43267
22878,43254
22872,43265
22872,43254
22876,43262
22876,43262
22870,43254
22871,43258
22870,43251
22865,43250
22867,43259
22865,43247
22866,43265
22863,43245
22866,43260
22861,43248
22861,43250
22854,43238
22855,43256
22849,43250
22860,43252
22853,43250
22855,43258
22849,43240
22856,43254
22855,43243
22860,43246
22859,43250
22855,43251
22849,43233
22850,43227
22844,43213
22846,43218
22846,43209
22843,43208
22843,43211
22847,43216
22854,43221
22842,43206
22840,43199
22829,43184
22830,43181
22825,43173
22824,43175
22821,43169
22815,43178
22822,43175
22821,43184
22827,43184
22827,43184
22835,43188
22835,43188
22848,43201
22853,43207
22857,43220
22858,43213
22865,43226
22858,43210
22863,43212
22856,43207
22860,43219
22859,43231
22865,43223
22872,43230
22871,43217
22869,43227
22870,43229
22867,43221
22867,43227
22872,43228
22867,43232
22870,43228
22872,43224
22873,43228
22867,43229
22869,43245
22870,43238
22868,43224
22870,43231
22873,43239
22872,43235
22873,43239
22868,43237
22872,43238
22870,43233
22870,43247
22872,43239
22869,43252
22872,43238
22876,43251
22873,43256
22881,43253
22874,43253
22879,43263
22871,43259
22880,43270
22870,43259
22876,43261
22876,43264
22872,43264
22881,43273
22878,43264
22881,43286
22878,43265
22886,43278
22890,43271
22902,43295
22897,43286
22897,43286
22896,43284
22892,43268
22889,43272
22888,43263
22887,43267
22891,43259
22889,43269
22884,43268
22888,43263
22888,43262
22887,43257
22893,43262
22884,43251
22885,43266
22879,43246
22886,43258
22879,43246
22884,43251
22876,43252
22880,43254
22875,43253
22887,43253
22883,43257
22880,43250
22882,43255
22884,43271
22878,43263
22874,43255
22877,43259
22873,43257
22873,43259
22876,43266
22875,43256
22874,43269
22879,43257
22881,43270
22881,43269
22875,43259
22882,43284
22876,43272
22881,43278
22876,43276
22878,43279
22877,43278
22870,43273
22880,43287
22876,43283
22876,43283
22881,43292
22872,43285
22877,43289
22882,43277
22882,43277
22883,43235
22879,43237
22884,43248
22882,43241
22885,43247
22885,43248
22888,43259
22888,43263
22889,43261
22891,43263
22886,43265
22891,43264
22884,43265
22889,43262
22885,43268
22895,43274
22890,43275
22897,43283
22892,43277
22895,43276
22895,43276
22902,43289
22912,43288
22920,43319
22917,43298
22917,43301
22908,43284
22911,43288
22902,43270
22906,43282
22906,43283
22905,43283
22910,43289
22905,43279
22910,43271
22908,43289
22903,43262
22902,43276
22900,43271
22903,43268
22901,43268
22901,43269
22897,43270
22904,43279
22897,43262
22899,43263
22898,43268
22900,43274
22899,43262
22906,43269
22891,43273
22895,43276
22905,43286
22897,43286
22899,43274
22897,43284
22896,43282
22889,43282
22899,43280
22897,43282
22900,43286
22894,43293
22899,43291
22894,43287
22895,43287
22895,43287
22899,43287
22898,43289
22901,43296
22892,43290
22895,43290
22890,43295
22895,43292
22891,43292
22897,43295
22894,43300
22897,43298
22889,43300
22894,43294
22894,43309
22890,43292
22893,43304
22890,43304
22901,43306
22895,43298
22900,43303
22901,43301
22912,43322
22906,43312
22899,43305
22897,43297
22893,43279
22891,43290
22887,43275
22888,43273
22887,43269
22893,43272
22886,43263
22887,43265
22876,43262
22878,43262
22879,43257
22869,43231
22872,43245
22862,43240
22861,43237
22861,43225
22861,43233
22860,43223
22861,43229
22857,43234
22855,43219
22855,43232
22863,43218
22862,43222
22869,43222
22861,43212
22863,43210
22852,43194
22859,43198
22853,43196
22860,43189
22861,43207
22861,43207
22869,43206
22862,43207
22872,43214
22862,43210
22873,43217
