IR Value,Red Value
6692,28960
6299,28512
6288,28522
6218,28431
6106,28326
6048,28293
5753,27956
5587,27793
5136,27317
4934,27091
4707,26831
4575,26711
4274,26506
3963,26052
4035,26171
4289,26481
4027,26202
4078,26280
4306,26559
4027,26271
3170,25373
2587,24753
1315,23313
65081,21364
63966,20000
63336,19317
62559,18477
61044,16825
59630,15212
58482,13951
57458,12778
56891,11969
56188,11143
55524,10378
54805,9669
54334,9097
53755,8403
53156,7576
52555,6817
51998,6120
51597,5743
51597,5743
51246,5344
51118,5198
51283,5401
51456,5623
51627,5842
51601,5833
51562,5782
51541,5768
51485,5717
51542,5796
51611,5874
51599,5869
51589,5858
51652,5934
51608,5916
51546,5834
51424,5695
51395,5646
51343,5575
51123,5306
50997,5167
51051,5233
51297,5528
51347,5595
51342,5566
51517,5798
51612,5899
51736,6039
51927,6269
52051,6425
52082,6484
52055,6462
52122,6548
52130,6569
52118,6557
52194,6677
52094,6565
52098,6592
51984,6435
51735,6155
51563,5953
51344,5674
51021,5324
50648,4910
50304,4488
49848,3978
49329,3377
48799,2702
48185,1976
47833,1719
47541,1448
47067,1009
46350,220
46350,220
45585,64948
44961,64197
44453,63567
43950,63174
43580,62800
42696,61831
42054,61127
41139,60002
40559,59307
39846,58630
39846,58630
39299,57990
38692,57358
38240,56884
37859,56494
37455,56097
36872,55467
36611,55186
36282,54930
36131,54832
35976,54680
35833,54487
35572,54176
35459,54065
35294,53860
35368,53971
35426,54088
35708,54476
35873,54695
35945,54761
36001,54798
36023,54825
35985,54780
35899,54654
35754,54464
35667,54318
35607,54231
35662,54298
35907,54611
36188,54956
36397,55212
36596,55487
36862,55833
37067,56088
37303,56373
37951,57207
39595,59334
41210,61298
42388,62843
43406,64017
44091,64792
44775,54
46823,2480
48554,4406
50922,7267
53000,9841
53460,10443
53729,10580
54531,11458
55415,12445
56587,13735
56587,13735
59186,16640
61723,19394
62891,20634
64231,22084
63779,21567
59145,16270
54906,11068
52924,8405
52770,8144
53044,8397
53515,8877
53467,8815
53937,9377
54705,10207
55621,11241
56420,12087
56752,12345
58286,14078
58387,14143
58880,14559
60034,15829
61091,16984
61454,17367
62377,18316
63397,19416
64125,20256
65016,21191
1554,23494
2688,24689
2928,24826
3593,25558
3960,25983
4386,26318
5327,27091
5424,27048
5529,27088
6321,28008
7051,28814
7103,28825
7396,29100
7942,29631
7590,29151
6946,28357
6445,27744
6281,27523
6094,27278
5943,27090
5626,26714
5323,26340
4984,25989
4913,25915
4908,25876
4572,25498
4198,25065
4013,24848
4104,25005
4324,25241
4690,25647
5706,26838
5750,26869
5261,26289
5203,26212
5203,26212
5431,26433
5660,26669
5641,26662
5452,26435
5555,26513
5496,26433
5118,25987
4390,25123
3975,24654
3505,24105
3111,23643
2709,23183
2222,22644
1938,22381
2057,22511
2257,22751
2288,22786
2494,23008
2593,23109
2788,23311
2796,23341
2929,23493
3372,24001
3924,24650
3916,24642
3679,24394
3249,23914
3045,23720
2833,23488
3083,23835
2426,23102
1647,22255
889,21442
93,20555
65499,20331
64657,19433
64073,18773
64016,18717
63694,18362
62975,17618
62224,16745
62178,16673
62328,16862
62224,16743
62214,16771
62282,16835
62549,17128
62123,16632
61963,16427
62162,16626
62253,16728
61738,16105
61595,15828
61860,16113
61860,16113
61733,15921
62318,16607
62481,16785
62250,16526
62129,16369
62279,16519
62725,17042
62603,16882
62368,16580
62420,16632
62515,16751
62678,16979
62566,16797
62697,16950
62797,17050
62726,16939
62598,16796
62385,16500
62150,16158
61677,15599
60942,14680
61058,14824
60400,14073
58842,12306
58764,12227
58054,11473
57913,11306
58087,11485
57795,11145
56800,9922
56066,9014
56487,9511
56303,9316
55933,8897
55538,8443
55195,8038
54530,7264
54845,7702
55092,8154
54466,7439
53878,6764
53748,6757
54136,7614
54424,8645
54498,9199
54262,9298
54616,10160
54926,10729
55536,11563
55917,12102
56164,12444
56340,12768
56338,12785
56602,13134
56942,13570
57103,13787
57235,13939
57570,14376
57673,14466
57639,14440
57535,14305
57535,14305
57994,14862
58665,15804
59391,16754
60575,18388
60805,18712
60963,18979
60503,18388
59135,16657
58783,16194
59133,16626
59549,17208
59330,16915
59101,16630
59053,16577
58999,16462
59226,16805
58240,15501
58912,16377
59388,17018
58350,15674
57158,14125
56433,12993
55674,11207
55553,10014
56547,10692
57163,10880
57902,11155
57887,10474
58103,10212
57750,9337
57148,8305
56021,6183
55117,4799
55021,4577
54566,4089
54387,3913
54180,3649
54165,3664
54114,3618
54129,3744
54402,4066
54931,4711
55430,5235
56261,6180
56807,6805
57081,7147
57005,7069
56628,6626
56159,6143
55271,5249
55271,5249
54943,4979
56011,6148
57849,8268
