IR Value,Red Value
25972,45866
25977,45870
25970,45882
25970,45864
25959,45876
25948,45834
25941,45851
25953,45839
25975,45863
25976,45866
25936,45837
25914,45814
25907,45817
25909,45812
25927,45828
25942,45833
25943,45838
25915,45820
25926,45831
25897,45797
25901,45805
25894,45822
25901,45819
25874,45817
25871,45780
25879,45798
25893,45837
25901,45801
25859,45788
25786,45719
25747,45674
25789,45736
25852,45766
25861,45771
25807,45720
25798,45726
25781,45699
25820,45753
25844,45806
25828,45760
25815,45770
25805,45719
25805,45719
25821,45768
25826,45760
25832,45800
25807,45728
25784,45715
25764,45703
25807,45728
25850,45780
25820,45757
25828,45758
25789,45709
25798,45723
25812,45758
25810,45758
25813,45730
25825,45751
25799,45739
25841,45762
25846,45793
25851,45787
25873,45790
25861,45801
25860,45801
25870,45827
25893,45832
25903,45824
25870,45812
25901,45843
25930,45878
25947,45896
25977,45939
25975,45917
26028,45974
26032,45996
26051,45999
26060,46024
26081,46054
26150,46104
26142,46114
26178,46160
26167,46142
26176,46174
26164,46130
26202,46173
26246,46237
26301,46285
26259,46258
26265,46239
26284,46253
26284,46253
26326,46304
26354,46331
26340,46323
26327,46331
26331,46305
26381,46349
26361,46357
26385,46374
26400,46410
26410,46412
26459,46436
26459,46436
26449,46449
26495,46465
26497,46495
26513,46484
26514,46477
26528,46495
26554,46536
26535,46544
26551,46554
26564,46542
26591,46577
26632,46652
26644,46647
26619,46624
26605,46617
26633,46622
26659,46687
26676,46666
26683,46704
26677,46698
26682,46699
26661,46678
26677,46676
26697,46711
26699,46706
26689,46685
26647,46645
26656,46681
26644,46652
26633,46644
26613,46604
26607,46631
26620,46619
26634,46649
26615,46618
26623,46616
26596,46596
26620,46594
26619,46588
26596,46570
26578,46568
26581,46565
26586,46563
26588,46556
26569,46531
26580,46551
26583,46553
26555,46533
26553,46514
26553,46514
26571,46551
26597,46557
26576,46531
26545,46511
26484,46484
26484,46464
26478,46446
26488,46427
26464,46418
26420,46366
26415,46370
26426,46371
26419,46373
26366,46308
26356,46304
26343,46311
26361,46305
26348,46312
26332,46284
26356,46310
26350,46302
26342,46267
26302,46244
26330,46265
26301,46281
26306,46269
26282,46253
26283,46233
26296,46235
26319,46260
26305,46240
26296,46260
26256,46201
26282,46213
26265,46228
26276,46215
26268,46204
26236,46192
26236,46200
26231,46179
26213,46158
26184,46139
26169,46132
26196,46109
26173,46097
26148,46099
26148,46099
26118,46063
26060,45977
26068,45990
26007,45947
25963,45901
25932,45862
25945,45880
25985,45932
25997,45906
25966,45894
25920,45854
25918,45833
25918,45833
25952,45899
25943,45900
25926,45890
25873,45831
25875,45820
25901,45853
25905,45837
25898,45839
25887,45836
25912,45854
25936,45853
25938,45871
25987,45938
26009,45982
26032,46015
26065,46002
26050,46023
26122,46075
26148,46107
26160,46141
26149,46117
26208,46182
26248,46216
26265,46229
26283,46248
26282,46251
26306,46296
26304,46275
26328,46310
26334,46319
26351,46334
26347,46333
26397,46370
26418,46380
26421,46416
26401,46412
26418,46426
26433,46415
26442,46423
26467,46440
26475,46461
26470,46463
26473,46481
26461,46483
26487,46491
26483,46483
26512,46542
26512,46542
26527,46532
26524,46541
26514,46499
26519,46525
26556,46573
26577,46616
26574,46597
26559,46547
26573,46586
26608,46616
26615,46621
26621,46636
26616,46618
26673,46671
26710,46743
26725,46734
26740,46741
26741,46749
26756,46772
26768,46777
26756,46787
26773,46795
26783,46811
26791,46832
26767,46826
26772,46779
26776,46815
26759,46790
26769,46777
26735,46710
26669,46672
26616,46620
26580,46565
26579,46553
26570,46546
26547,46514
26517,46504
26485,46446
26500,46427
26455,46404
26460,46405
26409,46368
26404,46365
26424,46339
26404,46348
26375,46328
26381,46323
26380,46299
26361,46288
26364,46311
26327,46254
26339,46278
26322,46248
26328,46261
26308,46252
26290,46249
26326,46253
26306,46251
26292,46230
26294,46229
26290,46227
26285,46220
26266,46203
26265,46187
26248,46177
26238,46193
26256,46174
26217,46166
26225,46169
26216,46126
26191,46154
26199,46129
26184,46126
26151,46127
26157,46083
26151,46086
26133,46071
26129,46056
26122,46061
26122,46058
26122,46058
26123,46063
26101,46031
26032,45964
25985,45924
25964,45923
25983,45915
26020,45955
26005,45946
26005,45948
25979,45945
25990,45929
26000,45946
26036,45974
25999,45973
25980,45925
25959,45937
25982,45927
25991,45913
25965,45914
25968,45923
25978,45915
25964,45942
25966,45909
25973,45904
25963,45916
25987,45938
25978,45916
25957,45911
25956,45908
25960,45916
25974,45916
25947,45891
25953,45912
25948,45900
25964,45903
25934,45918
25933,45891
25937,45894
25930,45890
25963,45927
25919,45887
25920,45881
25931,45873
25914,45882
25918,45884
25891,45843
25897,45852
25891,45838
25896,45831
25896,45831
25900,45830
25879,45838
25896,45854
25904,45879
25879,45829
25873,45848
25852,45835
25871,45836
25886,45822
25872,45848
25849,45812
25840,45812
25863,45819
25852,45815
25842,45846
25857,45805
25848,45802
25838,45801
25800,45746
25772,45710
25766,45738
25788,45755
25831,45811
25828,45785
25802,45766
25781,45751
25823,45774
25846,45808
25855,45825
25836,45827
25823,45782
25864,45828
25846,45814
25851,45816
25837,45789
25839,45825
25855,45805
25904,45853
25898,45868
25921,45890
25963,45914
25991,45959
26018,45999
26024,46001
26057,46028
26058,46056
26087,46074
26104,46100
26144,46129
26193,46172
26228,46216
26252,46254
26256,46271
26294,46272
26334,46349
26314,46323
26321,46323
26340,46352
26345,46353
26345,46353
26378,46371
26382,46365
26404,46454
26403,46419
26402,46431
26419,46436
26435,46446
26427,46449
26403,46400
26439,46450
26472,46488
26501,46544
26478,46510
26483,46491
26489,46511
26512,46525
26536,46576
26547,46569
26550,46577
26560,46618
26542,46606
26563,46603
26568,46603
26579,46615
26589,46633
26616,46634
26648,46686
26645,46695
26671,46712
26680,46735
26684,46741
26696,46738
26690,46730
26701,46747
26692,46745
26714,46729
26695,46756
26695,46753
26692,46734
26688,46738
26713,46764
26706,46757
26697,46745
26655,46685
26631,46678
26629,46655
26629,46655
26645,46659
26607,46627
26598,46635
26535,46569
26527,46531
26534,46536
26506,46527
26504,46499
26469,46461
26489,46494
26489,46494
26455,46486
26455,46441
26471,46471
26442,46437
26440,46455
26411,46406
26417,46401
26391,46403
26391,46380
26401,46386
26400,46362
26389,46369
26393,46373
26392,46368
26372,46405
26391,46369
26369,46344
26366,46367
26341,46350
26359,46330
26349,46358
26344,46332
26343,46333
26322,46302
26290,46256
26247,46207
26235,46241
26233,46231
26246,46227
26208,46206
26202,46174
26176,46153
26146,46119
26128,46114
26123,46106
26073,46044
26030,46003
26025,45981
26002,45957
25975,45941
25954,45949
25940,45908
25936,45894
25910,45859
25914,45885
25898,45828
25896,45855
25891,45840
25871,45798
25881,45816
25881,45816
25851,45808
25840,45798
25824,45775
25819,45777
25807,45779
25808,45751
25826,45760
25802,45749
25827,45778
25796,45776
25820,45774
25800,45748
25786,45746
25796,45769
25793,45742
25804,45759
25777,45726
25771,45718
25803,45783
25882,45896
25882,45862
25832,45821
25836,45838
25851,45816
25860,45860
25854,45829
25854,45821
25859,45836
25871,45868
25839,45829
25773,45779
25731,45747
25770,45746
25811,45813
25838,45807
25811,45797
25796,45757
25768,45748
25830,45844
25856,45878
25878,45856
25851,45856
25827,45822
25861,45849
25871,45819
25862,45873
25868,45891
25915,45914
25958,45944
25981,45989
26046,46039
26063,46092
26094,46110
26118,46138
26134,46147
26162,46169
26160,46172
26173,46206
26185,46198
26213,46239
26199,46214
26199,46214
26221,46249
26234,46267
26241,46255
26245,46296
26236,46272
26264,46302
26275,46329
26295,46346
26302,46364
26342,46384
26391,46432
26395,46444
26389,46441
26410,46454
26427,46481
26381,46435
26397,46430
26412,46501
26469,46529
26479,46518
26454,46499
26461,46515
26462,46518
26483,46546
26497,46570
26508,46556
26497,46547
26514,46556
26528,46582
26536,46596
26566,46612
26540,46606
26550,46625
26567,46645
26588,46640
26589,46660
